supplier_id,company_name,legal_form,supplier_category,material_specialty,address,postal_code,city,country,siren,siret,vat_number,iban,bic,bank_name
supplier_001,Jacques,SA,Fournisseur de semelles,Colle industrielle cuir/caoutchouc,avenue Augustin Guillon,53644,Parent-sur-Mer,France,007103131,00710313170370,FR50007103131,FR76 95583 89586 24004053155 59,LKGDFROM7N0,Société Générale
supplier_002,Nicolas Colin et Fils,SAS,Fournisseur d'œillets,Colle industrielle cuir/caoutchouc,avenue Noël Weiss,26841,Chevallier,France,144264283,14426428309937,FR67144264283,FR76 35156 34682 89697831196 07,MIUBFR540Z7,Société Générale
supplier_003,Rocher,EURL,Fournisseur de fil de couture,Cuir marron nubuck,"140, rue Robert",67379,Jean,France,558521561,55852156117462,FR97558521561,FR76 46954 19003 64519353257 11,WMEUFR30SYK,Crédit Mutuel
supplier_004,Collin Andre et Fils,SA,Fournisseur de textile,Talons bois,avenue de Blanchet,27619,Noël-sur-Mer,France,397049716,39704971675705,FR83397049716,FR76 24935 85280 15594192796 98,ZVMSFRGA2H3,Société Générale
supplier_005,Monnier et Fils,SARL,Fournisseur de talons,Cuir noir pleine fleur,"70, rue Le Goff",05488,Deschamps-sur-Mer,France,153748541,15374854158061,FR39153748541,FR76 18250 78765 35703898085 50,OVYBFRGLX4Z,La Banque Postale
supplier_006,Duhamel SARL,EURL,Fournisseur d'œillets,Semelles gomme,"43, rue de Blot",63832,Berthelot-sur-Blot,France,220273662,22027366204846,FR69220273662,FR76 04185 91952 72370985313 77,YQZCFRP9KW5,Crédit Agricole
supplier_007,Legros Lesage S.A.,EURL,Fournisseur de textile,Cuir noir pleine fleur,"18, rue Courtois",46643,Saint Danielle,France,623365378,62336537886776,FR58623365378,FR76 15195 77769 39314720408 91,AWSQFRK29LO,BNP Paribas
supplier_008,Launay Klein SARL,EURL,Fournisseur de talons,Lacets coton noir,chemin de Daniel,65305,Michel-la-Forêt,France,510719300,51071930007598,FR46510719300,FR76 17221 01183 17766460743 19,SIKIFRM4NN2,BNP Paribas
supplier_009,Coste Leblanc S.A.S.,SASU,Fournisseur de semelles,Colle industrielle cuir/caoutchouc,"6, chemin Élodie Brunel",25135,Saint Laurent,France,269858142,26985814244411,FR57269858142,FR76 39340 56934 31773440071 90,JDVLFR65MUC,La Banque Postale
supplier_010,Baudry Guillot SA,SASU,Fournisseur de semelles,Œillets métalliques,"2, rue Picard",61189,Charrierdan,France,116952765,11695276595862,FR69116952765,FR76 08585 99292 44840165562 28,FYUQFRJZAW7,Société Générale
supplier_011,Samson SA,SARL,Fournisseur de cuir,Textile technique respirant,"89, rue Laurence Ollivier",79680,Dupont,France,848249084,84824908446267,FR40848249084,FR76 18439 83796 97797992492 70,JDJBFRHBQCY,Crédit Agricole
supplier_012,Giraud,SA,Fournisseur d'œillets,Lacets coton noir,"93, chemin Denise Lebrun",01201,Tanguy,France,470979480,47097948036801,FR55470979480,FR76 69505 16781 18700615477 21,HIQMFRUHV02,La Banque Postale
supplier_013,Gosselin,SASU,Fournisseur de lacets,Textile technique respirant,rue de Bonnet,20883,Garcia-sur-Mer,France,922950169,92295016999309,FR27922950169,FR76 85194 35386 55481946207 27,NKLIFRQ64Q4,Société Générale
supplier_014,Giraud,EURL,Fournisseur de semelles,Semelles gomme,"26, rue Robert Teixeira",67708,Allain-les-Bains,France,691371165,69137116535569,FR85691371165,FR76 95331 88065 77630751975 33,AVGUFRLOMW0,Société Générale
supplier_015,Michel Buisson SA,EURL,Fournisseur de textile,Fil de couture renforcé,chemin Jules Marchand,07872,Carlier-sur-Coulon,France,151889856,15188985666867,FR39151889856,FR76 83327 97175 72000364554 80,XAQOFRRJX7M,Crédit Agricole
supplier_016,Traore S.A.R.L.,SASU,Fournisseur de lacets,Colle industrielle cuir/caoutchouc,rue Duval,30529,Boulay-sur-Mer,France,771907078,77190707899868,FR12771907078,FR76 99148 79569 72308593273 08,UNIUFRH2S57,Société Générale
supplier_017,Launay SARL,SAS,Fournisseur de colle,Colle industrielle cuir/caoutchouc,"7, rue Lemoine",23246,Besnarddan,France,020447367,02044736784086,FR61020447367,FR76 34269 85384 04295526906 26,ARMBFRGFBOY,Crédit Mutuel
supplier_018,Colin S.A.,SA,Fournisseur de semelles,Semelles gomme,"9, rue de Clerc",97335,Verdier-sur-Mer,France,893122741,89312274105259,FR84893122741,FR76 58047 44944 23563120576 58,BZOZFR84HLU,La Banque Postale
supplier_019,Germain SARL,SAS,Fournisseur d'œillets,Talons bois,"65, rue de Reynaud",21619,Roussel,France,020118207,02011820728712,FR69020118207,FR76 05811 19865 01088826915 91,FOWPFRLONS5,Crédit Mutuel
supplier_020,Girard,SASU,Fournisseur de textile,Cuir noir pleine fleur,"70, rue de Pineau",49603,Daniel,France,157145308,15714530865824,FR45157145308,FR76 79709 80095 01642785186 16,LLJLFR7Z0SH,Crédit Agricole
supplier_021,Gimenez S.A.S.,SAS,Fournisseur de colle,Œillets métalliques,"416, chemin Camille Poirier",79410,Deschampsboeuf,France,375214856,37521485611808,FR61375214856,FR76 33467 54461 04534789522 30,LHIGFRI2DTS,Société Générale
supplier_022,Auger Bernier SA,SASU,Fournisseur de talons,Lacets coton noir,"64, boulevard Dijoux",49866,Saint NoémiBourg,France,273651406,27365140605274,FR98273651406,FR76 03345 78231 67052935489 92,CXFFFRJDKFK,Crédit Mutuel
supplier_023,Poulain,SAS,Fournisseur de textile,Textile technique respirant,"4, chemin Gabrielle Guilbert",72624,Salmon,France,867242815,86724281571168,FR46867242815,FR76 38313 67579 04235607965 36,PWKPFR8ZED9,BNP Paribas
supplier_024,De Sousa et Fils,SAS,Fournisseur de textile,Fil de couture renforcé,"26, rue Diaz",24414,Sainte Louis-les-Bains,France,216037394,21603739415606,FR52216037394,FR76 97388 83659 42197880650 43,YOUCFRWS5QS,BNP Paribas
supplier_025,Gaillard,SARL,Fournisseur de talons,Cuir noir pleine fleur,rue de Gaillard,83630,Lefèvre,France,300094723,30009472365774,FR43300094723,FR76 82254 00979 61231815509 82,HLQLFRK8WDL,La Banque Postale
supplier_026,Leroy,SAS,Fournisseur de talons,Fil de couture renforcé,"10, rue de Da Silva",28347,Pages,France,188344716,18834471646119,FR98188344716,FR76 70070 04224 63856730716 08,ACTJFRDPP6U,BNP Paribas
supplier_027,Mahe SARL,SARL,Fournisseur de cuir,Colle industrielle cuir/caoutchouc,"2, avenue de Lévy",67271,Joubert,France,014676623,01467662320384,FR63014676623,FR76 08580 43791 67442923990 10,LUBGFR0AR8K,Crédit Agricole
supplier_028,Dumont Maurice S.A.S.,SA,Fournisseur de lacets,Fil de couture renforcé,"20, rue Chevalier",55242,Rey,France,112648243,11264824374423,FR35112648243,FR76 36232 76073 73338960017 67,ZMAIFRHMNN7,Crédit Agricole
supplier_029,Mahe Jean et Fils,SARL,Fournisseur de semelles,Fil de couture renforcé,"97, chemin Arnaud",65363,Julien-la-Forêt,France,285976567,28597656728768,FR55285976567,FR76 10836 96835 06859827965 79,GNABFRG3O2I,Société Générale
supplier_030,Deschamps,SASU,Fournisseur de cuir,Colle industrielle cuir/caoutchouc,"74, boulevard Adèle Mace",81536,BrunelVille,France,434673967,43467396761501,FR97434673967,FR76 31473 20313 13456200673 46,MJJQFR48VJ6,Société Générale
